Project ID;Year;Retired Credits;Issued Credits;Vintage Credits
CAR592;2020;26095,0;26095,0;39224,0
CAR592;2022;82592,0;82489,0;61684,0
CAR592;2023;14779,0;60041,0;70275,0
CAR593;2017;87946,0;67343,0;55622,0
CAR593;2018;46,0;55622,0;50764,0
CAR593;2019;12589,0;79701,0;50818,0
CAR599;2012;4362,0;26741,0;24296,0
CAR599;2013;14268,0;1791,0;2554,0
CAR600;2012;16254,0;10817,0;10829,0
CAR600;2013;10829,0;10829,0;8197,0
CAR601;2012;879,0;15476,0;20621,0
CAR601;2013;3132,0;4361,0;1716,0
CAR604;2010;130183,0;130213,0;913222,0
CAR620;2011;351,0;28131,0;28687,0
CAR621;2011;93372,0;93372,0;99097,0
CAR621;2012;98740,0;98740,0;104237,0
CAR621;2013;107008,0;107008,0;111327,0
CAR621;2014;109667,0;109667,0;94442,0
CAR621;2016;70506,0;128148,0;135296,0
CAR621;2017;263444,0;135296,0;164605,0
CAR621;2018;164605,0;164605,0;107690,0
CAR621;2022;32500,0;177286,0;147184,0
CAR627;2020;23528,0;31094,0;25816,0
CAR635;2012;105605,0;105605,0;112123,0
CAR635;2013;219146,0;219146,0;106420,0
CAR635;2015;99709,0;80689,0;80276,0
CAR635;2016;168191,0;87502,0;82835,0
CAR635;2018;197581,0;112198,0;117426,0
